timestamp:,sale price
5:02:56 PM,296,5:02:56 PM296
5:02:44 PM,899,5:02:44 PM899
5:01:45 PM,86,5:01:45 PM86
5:01:13 PM,87,5:01:13 PM87
5:01:12 PM,"3,146","5:01:12 PM3,146"
5:01:10 PM,527,5:01:10 PM527
5:00:48 PM,100,5:00:48 PM100
5:00:48 PM,46,5:00:48 PM46
5:00:48 PM,93,5:00:48 PM93
5:00:37 PM,161,5:00:37 PM161
5:00:28 PM,136,5:00:28 PM136
5:00:02 PM,550,5:00:02 PM550
4:59:51 PM,718,4:59:51 PM718
4:59:51 PM,"2,901","4:59:51 PM2,901"
4:59:50 PM,96,4:59:50 PM96
4:59:14 PM,250,4:59:14 PM250
4:59:14 PM,"3,496","4:59:14 PM3,496"
4:58:51 PM,104,4:58:51 PM104
4:58:51 PM,92,4:58:51 PM92
4:58:39 PM,427,4:58:39 PM427
4:58:28 PM,306,4:58:28 PM306
4:58:17 PM,96,4:58:17 PM96
4:58:16 PM,"2,696","4:58:16 PM2,696"
4:57:51 PM,111,4:57:51 PM111
4:57:51 PM,95,4:57:51 PM95
5:09:20 PM,"6,503","5:09:20 PM6,503"
5:09:06 PM,"1,203","5:09:06 PM1,203"
5:08:59 PM,435,5:08:59 PM435
5:08:57 PM,347,5:08:57 PM347
5:08:46 PM,798,5:08:46 PM798
5:08:34 PM,"6,697","5:08:34 PM6,697"
5:08:33 PM,"2,594","5:08:33 PM2,594"
5:08:32 PM,69,5:08:32 PM69
5:08:32 PM,"56,000","5:08:32 PM56,000"
5:08:23 PM,"8,761","5:08:23 PM8,761"
5:08:22 PM,251,5:08:22 PM251
5:07:52 PM,997,5:07:52 PM997
5:06:58 PM,"2,501","5:06:58 PM2,501"
5:06:36 PM,"2,086","5:06:36 PM2,086"
5:06:35 PM,407,5:06:35 PM407
5:06:35 PM,"1,129","5:06:35 PM1,129"
5:06:34 PM,865,5:06:34 PM865
5:06:34 PM,"1,687","5:06:34 PM1,687"
5:06:15 PM,561,5:06:15 PM561
5:06:10 PM,"15,997","5:06:10 PM15,997"
5:06:10 PM,"1,092","5:06:10 PM1,092"
5:05:29 PM,995,5:05:29 PM995
5:05:28 PM,"3,902","5:05:28 PM3,902"
5:05:26 PM,102,5:05:26 PM102
5:04:43 PM,"2,701","5:04:43 PM2,701"
5:04:38 PM,"1,681","5:04:38 PM1,681"
5:04:38 PM,"70,000","5:04:38 PM70,000"
5:04:29 PM,"5,969","5:04:29 PM5,969"
5:03:54 PM,294,5:03:54 PM294
5:03:41 PM,86,5:03:41 PM86
5:03:41 PM,"7,001","5:03:41 PM7,001"
5:03:32 PM,183,5:03:32 PM183
5:03:19 PM,257,5:03:19 PM257
5:03:17 PM,"2,507","5:03:17 PM2,507"
5:03:09 PM,200,5:03:09 PM200
5:03:09 PM,"20,004","5:03:09 PM20,004"
5:02:56 PM,296,5:02:56 PM296
5:02:44 PM,899,5:02:44 PM899
5:01:45 PM,86,5:01:45 PM86
5:01:13 PM,87,5:01:13 PM87
5:01:12 PM,"3,146","5:01:12 PM3,146"
5:01:10 PM,527,5:01:10 PM527
5:00:48 PM,100,5:00:48 PM100
5:00:48 PM,46,5:00:48 PM46
5:00:48 PM,93,5:00:48 PM93
5:00:37 PM,161,5:00:37 PM161
5:00:28 PM,136,5:00:28 PM136
5:00:02 PM,550,5:00:02 PM550
4:59:51 PM,718,4:59:51 PM718
4:59:51 PM,"2,901","4:59:51 PM2,901"
7:23:06 PM,451,7:23:06 PM451
7:23:05 PM,82,7:23:05 PM82
7:22:44 PM,"20,004","7:22:44 PM20,004"
7:22:34 PM,114,7:22:34 PM114
7:22:07 PM,90,7:22:07 PM90
7:22:07 PM,40,7:22:07 PM40
7:21:36 PM,448,7:21:36 PM448
7:21:08 PM,83,7:21:08 PM83
7:20:36 PM,62,7:20:36 PM62
7:20:12 PM,550,7:20:12 PM550
7:20:10 PM,141,7:20:10 PM141
7:20:00 PM,255,7:20:00 PM255
7:18:42 PM,"13,998","7:18:42 PM13,998"
7:18:40 PM,547,7:18:40 PM547
7:18:17 PM,500,7:18:17 PM500
7:18:14 PM,88,7:18:14 PM88
7:18:14 PM,73,7:18:14 PM73
7:17:42 PM,649,7:17:42 PM649
7:17:30 PM,65,7:17:30 PM65
7:17:16 PM,378,7:17:16 PM378
7:16:43 PM,86,7:16:43 PM86
7:16:23 PM,319,7:16:23 PM319
7:16:22 PM,999,7:16:22 PM999
7:16:18 PM,240,7:16:18 PM240
7:16:17 PM,78,7:16:17 PM78
7:15:44 PM,75,7:15:44 PM75
7:15:19 PM,253,7:15:19 PM253
7:15:19 PM,73,7:15:19 PM73
7:15:12 PM,283,7:15:12 PM283
7:15:08 PM,"2,498","7:15:08 PM2,498"
7:14:21 PM,551,7:14:21 PM551
7:14:20 PM,94,7:14:20 PM94
7:14:10 PM,"2,199","7:14:10 PM2,199"
